Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.8233558178752108,0.8216510974646964,0.8131806365488653
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.822512647554806,0.8168517900852204,0.8180285252582028
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.8220910623946037,0.8312858898221265,0.8190824141080587
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.8215992130410343,0.8260321364564467,0.8166935993817186
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8208965711073637,0.7410002007014442,0.8221738214009696
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8203344575604272,0.8039699981020799,0.8173259326916321
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8193507588532883,0.819193046232404,0.8199957844446005
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.8179454749859472,0.7828023127672911,0.8185905993114593
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.8175238898257448,0.8324578514934451,0.8134616735754936
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.816540191118606,0.831676804415881,0.8149371179652919
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.8163293985385047,0.8279677582996304,0.8133914143188365
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8156970207982013,0.8196296039603802,0.8140237476287501
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8139404159640248,0.8329094096890828,0.8058736738565306
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.8135188308038224,0.8265780491980044,0.808403007096185
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.813167509836987,0.8354101962109299,0.8060844516265018
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.81190275435638,0.8328086378307945,0.801939155483735
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.811832490163013,0.8063249512003503,0.8088948218927844
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.8105677346824058,0.8206689478607809,0.8080517108128996
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8103569421023047,0.76927654348796,0.8072788589896719
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.8099353569421023,0.7725494329582575,0.8091758589194127
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.8090219224283305,0.8350737084477018,0.8040469331834469
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.8088813940415964,0.8347087037526357,0.800815007377222
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.808459808881394,0.8238794690764958,0.7969507482610834
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.8080382237211917,0.8164556413710652,0.8033443406168763
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8071247892074199,0.7356389774076915,0.808543525609499
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8067734682405846,0.8311409387790004,0.8044684887233893
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8067734682405846,0.7510896596401909,0.8050305627766459
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.8062113546936481,0.8227326953562243,0.8033443406168763
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.8057897695334457,0.818466646580479,0.7985667111641959
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001}",0.8052276559865092,0.8265843261316649,0.7994800815007377
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.8043142214727375,0.8265577143394365,0.8003231925806225
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8042439572793705,0.838143149061813,0.7958968594112275
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8036115795390669,0.7824475958261159,0.795405044614628
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.802627880831928,0.8322916230489967,0.7951240075879997
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.802627880831928,0.8291019580984798,0.7981451556242535
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.8019955030916245,0.8255591203725763,0.7909787114452329
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.801433389544688,0.8296195544492109,0.7906274151619476
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8008010118043845,0.824106541663839,0.7989180074474812
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.8001686340640809,0.832752085265546,0.7931567484016019
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.7997470489038786,0.8331402323933415,0.792102859551746
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7996767847105115,0.8302875365044804,0.7973723038010258
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7993957279370433,0.8326850042971927,0.7903463781353194
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.7986228218100057,0.8342752343562368,0.7918218225251177
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.7976391231028668,0.8300581777496057,0.7909787114452329
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.7971472737492974,0.8099802924337159,0.7909787114452329
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.7960933108487914,0.8318321033752014,0.7872549708424085
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.7957419898819561,0.8374706748878855,0.7837420080095553
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.7951096121416527,0.8334830171443313,0.7873954893557226
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.7930719505340079,0.8067297432321019,0.7896437855687487
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7929314221472737,0.8306197126359608,0.7871144523290944
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7928611579539067,0.8274777764461854,0.7871144523290944
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.01}",0.7917369308600337,0.8349495936156726,0.7819855265931287
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.7911748173130972,0.8050236806848041,0.7875360078690368
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.7911748173130972,0.8028869162070669,0.7880980819222932
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.7909640247329961,0.8318775860766141,0.7860605634792384
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.7908234963462619,0.8295924613585546,0.7825476006463852
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7904721753794266,0.8341489536812832,0.7790346378135319
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.789699269252389,0.8017736729439211,0.7868334153024661
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7890668915120854,0.8333237474729827,0.7840230450361835
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.7889966273187183,0.8335296429295096,0.7760134897772781
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.7886453063518831,0.8347069590458355,0.7826178599030422
